FECHA,TMAX,TMIN,NOMBRE
2024-01-28,,20.6,VIEDMA AERO
2024-01-28,33.5,14.4,VILLA DE MARIA DEL RIO SECO
2024-01-28,35.9,18.4,VILLA DOLORES AERO
2024-01-28,28,16.3,VILLA GESELL AERO
2024-01-28,35.6,15.3,VILLA REYNOLDS AERO
2024-01-27,28.3,21.8,AEROPARQUE AERO
2024-01-27,32.1,17.5,AZUL AERO
2024-01-27,37.1,23.9,BAHIA BLANCA AERO
2024-01-27,27.7,13.9,BARILOCHE AERO
2024-01-27,-3.7,-11.6,BASE BELGRANO II
2024-01-27,3,-2,BASE CARLINI (EX JUBANY)
2024-01-27,4.3,-3.2,BASE ESPERANZA
2024-01-27,0.3,-4.4,BASE MARAMBIO
2024-01-27,3.7,0.5,BASE ORCADAS
2024-01-27,2.2,-0.2,BASE SAN MARTIN
2024-01-27,32.4,16.4,BENITO JUAREZ AERO
2024-01-27,26,14.8,BERNARDO DE IRIGOYEN AERO
2024-01-27,32.7,14,BOLIVAR AERO
2024-01-27,30,21.7,BUENOS AIRES OBSERVATORIO
2024-01-27,,,CAMPO DE MAYO AERO
2024-01-27,37.2,25,CATAMARCA AERO
2024-01-27,32.4,16.4,CERES AERO
2024-01-27,,21.8,CHAMICAL AERO
2024-01-27,31.5,11.8,CHAPELCO AERO
2024-01-27,35.5,20,CHEPES
2024-01-27,38.6,20.8,CIPOLLETTI
2024-01-27,30.6,19.7,COMODORO RIVADAVIA AERO
2024-01-27,30.8,19,CONCORDIA AERO
2024-01-27,32.2,12.6,CORDOBA AERO
2024-01-27,32.2,20.1,CORDOBA OBSERVATORIO
2024-01-27,33,14.9,CORONEL SUAREZ AERO
2024-01-27,31,19.3,CORRIENTES AERO
2024-01-27,,18.7,DOLORES AERO
2024-01-27,29.1,15.6,EL BOLSON AERO
2024-01-27,19.4,8,EL CALAFATE AERO
2024-01-27,30.4,20.5,EL PALOMAR AERO
2024-01-27,,14,ESCUELA DE AVIACION MILITAR AERO
2024-01-27,24.9,15,ESQUEL AERO
2024-01-27,31.7,21,EZEIZA AERO
2024-01-27,32.3,18.4,FORMOSA AERO
2024-01-27,33.5,18.5,GENERAL PICO AERO
2024-01-27,22,9,GOBERNADOR GREGORES AERO
2024-01-27,30.9,18.5,GUALEGUAYCHU AERO
2024-01-27,29.4,17.9,IGUAZU AERO
2024-01-27,32.5,18.5,ITUZAINGO
2024-01-27,36.5,17.5,JACHAL
2024-01-27,32.8,18.6,JUJUY AERO
2024-01-27,29.6,15.8,JUJUY U N
2024-01-27,32.2,15,JUNIN AERO
2024-01-27,29.5,19.2,LA PLATA AERO
2024-01-27,24,7.1,LA QUIACA OBSERVATORIO
2024-01-27,39.1,23.6,LA RIOJA AERO
2024-01-27,32.2,15.5,LABOULAYE AERO
2024-01-27,32,18.5,LAS FLORES
2024-01-27,36.4,19.8,LAS LOMITAS
2024-01-27,33.6,16.4,MALARGUE AERO
2024-01-27,33,11.5,MAQUINCHAO
2024-01-27,31.3,18.8,MAR DEL PLATA AERO
2024-01-27,30.6,14,MARCOS JUAREZ AERO
2024-01-27,30.5,20,MARIANO MORENO AERO
2024-01-27,35.4,23.8,MENDOZA AERO
2024-01-27,33.6,21.5,MENDOZA OBSERVATORIO
2024-01-27,30.2,18,MERCEDES AERO (CTES)
2024-01-27,31.5,19.8,MERLO AERO
2024-01-27,31.2,16.8,METAN
2024-01-27,29.8,18.6,MONTE CASEROS AERO
2024-01-27,31,20.8,MORON AERO
2024-01-27,38.5,21.2,NEUQUEN AERO
2024-01-27,33,16,NUEVE DE JULIO
2024-01-27,32.3,15.1,OLAVARRIA AERO
2024-01-27,36.4,20.4,ORAN AERO
2024-01-27,30.4,17.9,PARANA AERO
2024-01-27,29.6,16.6,PASO DE INDIOS
2024-01-27,30,19,PASO DE LOS LIBRES AERO
2024-01-27,33.6,17.3,PEHUAJO AERO
2024-01-27,19.5,,PERITO MORENO AERO
2024-01-27,32.4,15.5,PIGUE AERO
